refined_roman_sentences
Tum kahan jaa rahe ho aaj kal?
"Mujhe bhook lagi hai, kuch khana hai."
"Bahut achcha, yeh sun kar dil khush ho gaya."
"Not halaf, but whole Pakistani awam ko support karna chahiye."
Khail ka talent un mein shuru se hi maujood tha aur achchey khilariyon mein shumaar kiye jaate thay.
"Lanat hai Urdu Point par bhi, yeh galat hai."
"Pata nahi kitni beghairati kuch logon mein hoti hai, dheet ban kar logon ko face karte hain, shayad yeh log khinzer ki gobar se banay hain."
"Marasi, yeh baat samajh se bahar hai."
"Is final ke baad match fixing ka tanaza khara hua, yeh dukh ki baat hai."
"Aur nahi toh kya, yeh toh hona hi tha."
"Bas kehte jao, kehte jao, yeh toh aadat hai."
"Jhoot bolne mein aapko pata hai kya ho sakta hai, kripya jhoot na bolen."
"Yeh mere peer aur murshid hain, inka ehteram karna chahiye."
"Mera bhi bachpan ka ghar Bhati Gate ke samne hai, yeh achha hai, mein paise kama raha hun taake phone le lun is saal."
"Kya baat hai Dr. Zeus, Ustad Rahat Fateh Ali Khan, jugalbandi, kamaal hai."
"Refund policy mein galat cheez deliver karne par bhi refund hota hai, aap logon ko jab complain karo, aap kehte hain hamari refund policy mein nahi, refund karo is case mein hum refund nahi kar sakte, toh bhai sahab kis case mein karenge refund?"
"Blue suit walay toh ghazab lag rahe thay, kya baat hai."
"Kisi ko dil se chaha, qatil woh mila hi nahi, very sad song, dukh hua."
"Aur mulk tabah ho raha hai 7 dahaiyon se, yeh dukh ki baat hai."
"Oh my god, kitna beauty hai yaar, killer eyes, kamaal hai."
"Iftikhar Chaudhry ki party taanga party hai, qatil, yeh sahi nahi hai."
"Dil kar raha hai is banday ki moonh pe jootay maro, kitna safaid jhoot bol raha hai aur sharam bhi nahi aa rahi isko."
"BISP ki CM ki salary badha do, yeh zaroori hai."
Yeh kahin Reham Khan ki baad tumhari autobiography toh nahi hai?
"Toh zaat ka hai Syed aur mein tumhara nokar, yeh galat hai."
"Yeh kafir hain police walay, yeh sahi nahi hai."
"Gand mein lelo yeh relief, BC, yeh galat hai."
"Bas kar do, yeh pehla case nahi hai, what about Zahir Jaffer, what about that couple jisko nanga kiya gaya guest house bula kar Khan Sahab ki susraali ne Khan regime mein, baatein bas, kaano saazi se hoga, bhashan baazi se nahi, PTI ne koi kaano saazi nahi ki, aaj bhi woh bahar kuttay ki tarah bhonkte phir rahe hain, koi nahi jaata assembly mein, opposition karain, daant ki parakhchay ura dain."
"Jodi ho toh aisi, kisi ki nazar na lage, thu thu thu, yeh achha hai."
"Haan ma'am bilkul sahi kaha aapne, yeh sach hai."
"First car bomb blast New York's Wall Street mein hua tha, qatil, yeh dukh ki baat hai."
1937 mein Punjab key maulvi Ibrahim Ali Chushti ney Tehreek-e-Khilafat Pakistan shuru ki aur is hawale sey aik scheme paish ki.
"Behen Loro, mulk per dehaan do, zara dehaan karlo."
"Madam, 36 ki liye sarkari nokri milna mushkil hai."
"Congratulations, Khuda Aur Mohabbat season 4 release karo, hum intezaar kar rahay hain."
"Dua karna ki Allah mujhe bohat jald aulad ki naimat se nawaz dey, ameen."
"Ekdum sahi, bilkul theek kaha hai aap ne."
"Tum ney to is ki sahi se leli, doston."
"Insaan mein sab kuch hai, lekin qatil ban gaya hai."
"Media kyun highlight kar raha hai aisi fazool stories ko, please for God's sake yeh band karo, drama Urdupoint com."
"Quran is the best medicine for all problems, is mein koi shak nahi."
"Zubi bhai, choro, agar hum market mein aagaye to bura masla hojana hai, qatil."
"Allah aap ko sari umar khushiyan naseeb farmaye, ameen."
"Kya song hai, mashallah, dil khush hogaya."
"Patwari, bagger, tumhari koi izzat nahi hai."
"Allah kisi qoum ki halat us waqt tak nahi badalta jab tak wo khud apnay halat mein tabdeeli na laye, qatil."
"Aa ho ji, zara baghair AC aur foreign country mein na raho, phir likho hyy hyy June."
"Zaleel insaan, drama baz, tumhari koi izzat nahi hai."
"Afghani, Angrez ki aulad, kuttay, kameeni, madar chod, India ki bachi, tum sab."
"Madam, please apna naak saaf kar liya karo, low angle camera mein bohat ganda dikhta hai."
"Good team, achi team hai, keep it up."
"Jai Bhole Nath ji, qatil, aap ki jai ho."
"Iqra is the best actress in Pakistan, is mein koi shak nahi."
"Eid Mubarak, nice, bohat achi baat hai."
"Wo apni zindagi ki akhri saal tak gaati rahi aur daad samait ti rahi, wah."
"Size bohat choti, mein ne YBR ki liye mangwa liya, haan choti hai."
"Song bilkul opposite hai video ka, bakwas video hai, is se acha audio sun le banda, ya song sofi tarz ka hai aur lyrics ki saath match video hoti kamal thi."
"Beghairaton ka tola, PTI, tumhari koi izzat nahi hai."
"Qatil, mein kal kaam karne ki bajaye soya, yeh galat hai."
"Na India, na Pakistan, sab aik hain, hum sab bhai bhai hain."
"Kya Teri Bin ka episode 20 YouTube pe nahi aaya, mujhe intezaar hai."
"Bohat acha kiya bhai, mein aap per bohat khush hoon, shukriya."
"Aise akeli mein sun kar rona achi baat nahi hai, yeh galat hai."
"Jazakallah Khair, qatil bro, Allah aap ko khush rakhe."
"Ja, ban chod, harami, tumhari koi izzat nahi hai."
"Bahut achhi natak thi, dil khush hogaya."
"Allah insaaf karo, hum insaaf chahte hain."
"Parhate hi nahi, yeh galat hai, parhana chahiye."
"Wow, untti, dil kar raha hai tujhe galiyan doon aur mukkay maroon."
"Yeh ko jootay maro, yahan logo ki paas khanay ko nahi aur yeh log paisa zaya kar rahay hain, yeh galat hai."
"Wesay bhi hamaray mulk mein jitna tasub phel raha hai, minorities ko vote hi nahi daina kisi ne."
"Khair Mubarak ji, Hazrat saab, aap ko aur aap sari team Ubqari ko Allah aapne hafeez-e-imaan mein rakhey, aap ko ta hayeet"
"Bahut accha hai, isko aur bhi dekhna chahta hun."
Waheed Murad ki is gair mamooli maqbooliyat key base par aksar unka mawazna Elvis Presley se kiya jata hai.
Unhon ne 1995 mein sirf 20 saal ki umar mein he one day international matches aur test matches ka aghaaz kiya tha.
"Darr saab, aese qatil harkatein mat karo, yeh theek nahi hai."
"Yeh Allah, rehem farma, hum sab par apni rehmat nazil farma."
"Gajab ki mohabbat karte hain, haan bhai ne toh kamaal kar diya."
"Bilkul acha nahi hai, socha tha magnetic locket hoga, lekin yeh aik hi dafa toot gaya, not good at all."
"Jis ne asabiyat ki taraf dawat di, us ne zulm ki taraf dawat di, yeh asabiyat toh pehle East Pakistan ko kha gayi, ab baaqi ko kahan rahe hai."
"Bilkul sahi hai, machhardani best option hai, machharon se bachne ka behtareen tareeqa."
"I was reading your comment with full concentration, lekin aakhir mein chawal ho gaye, tum logon ko aise hi toh smart lagte hain, phir mar jayenge."
"Masha Allah, good luck, Allah aapko kamyabi de."
"Hahahaha, maza agaya, dil khush ho gaya."
"Allah pak hazrat sab ko apni khaas rahmat ke saaye mein rakhay aur lambi umar ata farmaey, ameen."
"Kya khabar thi ki tujhay yeh hunar bhi aata hai, qatil, tum toh kamaal karte ho."
"Jaya Prada ka shumaar aisi khush kismat khawateen mein hota hai, jo kamyab rahi hain."
"Coz proof hai, us ke khilaaf google karo, Tyran White Imran ki daughter, jo apni beti ko insaaf na de saka, awam ko kya insaaf dega, besharam insaan, name Tehreek-e-Insaf, kaam karam karon wala, jawab do bas haram ki aulaad ka yeh leader hai, tumhari sharam tumko lekin nahi aati."
"Apne gham chupa lain, hum jhooti muskurahat se kaam chala rahe hain, qatil."
"Bahot accha song hai, love from India, dil ko sukoon milta hai."
"Ajeeb be-tukki baat hai, samajh se bahar hai yeh sab."
"Paisa babu bhaiya paisa, duniya paisay ki hai."
"Hamari yahan coil toh nahi, but all-out wale repellent machine chala dete hain, jo phir kuch din baad band kar dete hain."
"Mushtaq Muhammad ki saat bhi un ki banti nahi thi, aur jab woh captain bane toh Intikhab Alam ki team mein shamil hone pe kisi tor pe razi nahi thay, aur is mamle pe un ka board se jhagra bhi ho gaya."
"Chor tareen, yeh toh choron ka sardar hai."
"Malik Mushtaq toh lanati hai, us par lanat ho."
"10 bakwas comedy, bilkul bakwas hai yeh."
"Nice, khud sab karwa ke khud hi khilaaf action lain ge, aap logon ko salute hai."
"Bohat kuch jaan gaya hai, tum badi mushkil se pehchana hai tum ne mujhy, jo tum samajhte ho galat hai, kisi din yeh bhi samjhana hai tumko, mein apni khauf ki hadd pe khada hun, ab is ke baad ghabra hai tum."
"Where is ICICI bank, mujhe iska pata nahi hai."
"Jeo kuttay ki bachay, patwari, tumhari toh lag gayi."
"Masha Allah, Allah pak aapko apni aman mein rakhain, hamesha khush rakhay."
"Lanti kutte teri, teri toh aisi ki taisi."
"Kya scene hai, aaj kal kya chal raha hai?"
"InshaAllah, tallah sab theek ho jayega, umeed hai sab acha hoga."
"Sahi keh rahay hain aap, bilkul theek"
"kar sajdah aik khuda ko phir kalma parho, iman lao."
qatil is ke ilawa huron ki jamat ki bhi wo sarbarah thay.
"yaar yeh sahi bolti to kitna acha hota, dil khush hojata."
gulistan e maymar ahsanabad mein firing se aik shaks janbahaq qatil.
munafiq wale actors aik saat phir se dikhai denge.
"pagal, pagal, pagal, yeh kia ho raha hai?"
you mean to say that agar mushkil kaam nahi hota to asaan kaam kar ke apna naam bana lo?
qatil wasail ki kami aur doston ki adam tawan ki wajah se sawaa 5 rupay mein jilani niazi ko farokht kar diye.
"kutte agar sher pe bhonke to wo sher nahi ban jata, bc world cup hospital ya college na sahi aik room ka school hi bana kar seekha de."
"allah hamari behan ko azadi ata farma, kafiron se, ameen."
"yeh mere khuda, har mohabbat ko nikah naseeb ho, ameen."
"aadat ho gayi hai hazrat ji ki daily dars ki, even midnight wala bhi uth kar sunte hain, throughout ramazan dil udaas hai ki ab daily hazri nahi hogi dars mein, qatil."
"qatil, yun to karoron dilon ki dharkan kehlanay wale is actor ne bohat si kamyab films mein apni salahiyaton ki jauhar dikhai hain, lekin tijarti paimane pe in ki sab se kamyab film series pirates of the caribbean rahi hai."
"send kar di, bachon ro nahi, shabash, khush raho."
"yeh song kaun cinema ka hai, koi bata do yar, love from india."
"arrest karti hi new conference ho jati hai, haan yar hum ulu hain kya, hum chu hain?"
"lanat hai is pe, aise logon pe lanat hai."
"rajpal ki movie ka naam batao, mujhe bhi dekhni hai."
"bhai kya yar, jab sunta hun aik alag hi baat hai is ost mein."
"beghairat insaan, darpok, sharam karo."
"bure kaam tera hi dusra naam hai, yeh to sach hai."
"jazakallah khair, bohat shukriya."
"aap log chote mote choron ko pakarte hain, bari jo mulk loot rahe hain wo kaun pakarega?"
"nepra ko bijli 2 rupay 19 paisay kam karne ki hidayat, bijli aur gas ki kami puri karne ke liye pur azam hain pm nawaz shareef, qatil."
"aap har khabar deti hain, qatil, yeh to achi baat hai."
"picture ab baqi hai mere dost, abhi to shuruat hai."
"billo kholay gi nawa katta, ab dekhte hain kya hota hai."
"aur pakistan, bete kaise ho, sab theek hai?"
"chorail phir chote hoti hai, dayin hai wo puri, yeh to sach hai."
"1964 ki baad jab mohibbullah khan ne british open title jeeta, pakistan ko yeh aijaz 1965 mein hasil hua, is martaba dono pakistani khilari kamar zaman aur gongi allauddin pahunche thay, lehaza title to pakistan ana hi tha, kamar ne gongi ko shikast de kar pehle martaba open jeetne ka aijaz hasil kiya."
"bhai jaan, chutti nahi mili, halkay mein is se strong candidate koi nahi hai."
"kya log bewakoof hain, unhein samajh nahi aa rahi ki yeh game logon ko sirf aur sirf unko bewakoof banati hai, kya logon mein dimagh naam ki koi cheez nahi?"
"paresh rawal ka last scene kis movie ka hai, mujhe pata karna hai."
"mera bhi ahista ahista ab dil aa gaya hai is pe, qatil, pyare lagne lage hain yeh, arsal ki galti nahi hai, qatil."
sab se mehngi bikne wali team karachi are group ki salman iqbal ne 25 lakh dollar mein khareed li
"Yahi to asal mohabbat hai, is mein koi shak nahi."
"Comments karne walon, itna neeche girne ki kya zaroorat thi, uski naak ke andar chale gaye?"
"Beautiful Dr. Zeus for making such a soulful track, I loved it so much."
"Shakal se hi yeh aadmi harami lagta hai, bilkul sahi hai."
"Party rahnuma chahte thay ki mein ghar mein rotiyan banati rahoon, shadi ki angothi tak nahi mili, ghar mein taweez bhi mile Reham Khan ke."
"Chha gaya mera cheeta, dil jeet liya bhai."
"Crane hadse ke baad Bin Laden Company ko mazeed kaam milne ka imkaan nahi, saat uhdedaron ki mulk chhorne pe pabandi aaid hai, qatil."
"Noon League ka paltu kutta hai yeh police wala, bilkul sahi hai."
"Arsal samajhdari se chal raha hai, lekin Jiya bawli hai, yeh galat hai."
"Sabit kar diya ki sabhi mein Noon ko support kar rahe ho, mein kisi bhi political party ko support nahi karta, lekin yeh sahi hai, Noon walay bhi jahil aur support karne walay bhi jahil, so called Muslims."
"Achi poetry qatil hai, lekin story nahi, qatil ghazal aik qatil kahani ki tarah ho, kabhi mashooq to kabhi maa jaan."
"Kya baat hai bhai jaan, dil khush kar diya aap ne."
"Mujra party pe lanat hai, yeh bilkul galat hai."
"Ya Allah, eman ki saat sehat aur afiyat ata farma, ameen, dua hai."
"Anti Jiapto bahut acha salah dete hain, yeh sach hai."
"Poora chehra mein cream dikh raha hai, yeh galat hai."
"Dharnay hotay hain, yeh to hona hi tha."
"Zilla aur tehsil councilon ki 242 nashiston pe dobara polling hogi, qatil, yeh to hona hi tha."
"Nawaz Shareef ka paigam hai, kya corrupt ko izzat do, yeh galat hai."
"Yeh muqabla bhi akhir tak dilchasp raha aur tareekh qatil ne apne aap ko dohraya, yani panchween aur faisla kun set mein Azam Khan aik martaba phir bazi le gaya."
"Life mein kabhi mein koi aise dramas nahi dekhti thi, but yeh mera first tha, kasam se dil jeet liya, shayad meri life ki tarah yeh story hai, I love this drama."
"Yaar, mujhe aapka comment dekh kar bohat ajeeb laga ki yaar aik non-political banda kisi politician ke saath beth kar kuch discuss kar raha hai, to aap log us pe bhi taane maar shuru ho gaye."
"Naare Takbeer, Allahu Akbar, yeh to hona hi tha."
"Please dua karo meri beti jo itne ziddi hai wo theek ho jaye, dua ki zaroorat hai."
"Mazeed andar tak bataon ga, yeh to hona hi tha."
"Allah sab ki duain kabool farma, ameen, dua hai."
"Adani ko de diye, yeh to galat hai."
"Bohot badhiya hai, yeh to achi baat hai."
"Wow Feroz, kamaal kar diya aap ne."
"Kuttay ki bachay, haram ki nasal, bhenchod ki aulad, tune Imran Khan ko arrest kiya, isko pakar kar nanga karun, is se badlaa laina hai, kis tarah Imran Khan ka gireban pakra."
"Apne mulk mein hi Kashmir 2 chal raha hai, yeh to dukh ki baat hai."
"Oh haan, Fiza, hahahha, usko kidhar bhool sakte hain, hahahha, yeh to sahi hai."
"Is ki mosiqi itni lajawab thi ki Mala Begum ki pehchaan ban gayi, yeh sach hai."
"Yeh wrong number hai, yeh to galat hai."
"Gatar ho tum log, jab bhi mouh khulta hai gand, jhoot hi nikalta hai, yeh to galat hai."
"Sahir Lodhi jo bhi karwa raha hai wo baad ki baat hai, pehle dekhen yeh bach"
Apne yeh bohat acha kiya jo heading ko Urdu mein translate kar diye.
"Police ne shak ki bunyad pe khatoon ke shohar ko giriftar kar liya, report jokhio qatil."
"Yehi wajah hai ki film Anarkali mein Anwar Kamal Pasha ki jald bazi ki wajah se Master Inayat Hussain ne teen naghmay compose karne ki baad Anwar Kamal Pasha ko jawab de diye, kyun ki wo kaam jaldi chahti thi aur Master Inayat Hussain apni tabiyat ki mutabiq kaam karna chahte the."
"Bahut hard, love from India, yeh dil se nikla hai."
"Yeh tilak wala larka shayari ke naam pe chutiyapa suna gaya hai, bilkul bakwas hai."
"Lekin 1963 mein hi is marz se na sirf sambhala liya, balki Imran Series ka behtareen novel, Derh Matwale bhi likha."
"In zaleel logon ki interview bhi nahi karni chahiye, thori sharam aani chahiye inko."
"Beghairatoon ka tola, PDM ka tola, yeh sab mil kar kya kar rahe hain?"
"Inho ne awam ko pagal kar ke kahin aur jo lagana hai, elections se dhyan hataya hai."
"Mujhe tumse pyar ho gaya hai, mujhe jail jana hai ab, yeh kya ho raha hai?"
"Mujhe Gucci ki coat pasand hai, qatil, yeh toh dil ki baat hai."
"PTI ne jo dam fund jama kiya tha, ab Allah jaane yeh dam kab banega."
"Masha Allah, bahut khoob, yeh toh dil ko chhu gaya."
Ana Molka Ahmed ki koshishon se 1958 mein M.A. Fine Arts ki classes ka ijra hua aur 1960 mein B.A. Honours ka teen saala course bhi shuru hua.
"Har post mein drama, mulk ka kaun sochega, begger kya ho raha hai is mulk mein, PM bikao, media bikao, institutions bikao."
"Ya Allah reham kar, uf, yeh kya ho raha hai?"
"Choro ko phone karo, haha, yeh toh mazak hai."
"Kisi gareeb ki beti ki shadi karte, in paison se toh sawab bhi milta aur na jaane kitne log beemar hain, ilaaj ke liye paise nahi, lekin logon ko dikhawa karne se fursat nahi."
"Kamal song, yeh toh dil ko chhu gaya hai."
"Us waqt table talk kaha tha jab Mian ko disqualify kiya gaya tha, koi jawab hai?"
"Dil ki awaz, yeh toh sach hai."
"Ja Bhardwaj, gand mera, yeh toh galat baat hai."
"Dil diye karo toh sahi wala diye karo, yeh wala diye karo, yeh fake wala hai."
"Yeh Mohlat drama mein Dawar wala hi ghar hai na, confirm karo."
"Har fankar ko create ya recreate karna parta hai, yeh toh zaroori hai."
"Chor hi gala phaar phaar kar shor machata raha, koi sunne wala nahi tha."
"Masha Allah, very very well, yeh toh kamaal hai."
"Maine jab dekha tha toh Ehtezaz Ahsan jinhain mein bohat qabil insaan aur waqeel samajhta tha, Surah Ikhlaas mein fail, nakli, aur maine police aur armed forces mein hi Hafiz-e-Quran dekhe hain, hamesha kabhi waqeel Hafiz nahi dekha."
"Yar kitna awesome song hai, I love Pakistan drama, dil khush ho gaya."
"In sha Allah Imran Khan Prime Minister ban ke dikhayega, qatil, tab hum apko batayenge."
"Allah Nazia ko Jannat ka aala muqaam ata farmaey, ameen, dua hai."
"Aaj bhi apni beti Bisma Shaeze ki zikar pe Saeed Anwar ki aankhon se aansuon ka darya baha nikalta hai, yeh toh dukh ki baat hai."
"Aa bchaii der khwez yai, yeh kya keh rahe ho?"
"Beshak, Subhan Allah, Allah humko amal ki taufeeq ata kare, ameen, yeh toh achi baat hai."
"Kya baat hai yaar, ise kehte hain legend, wah!"
"Bhai saab, theek hai, par yeh title aise mat dala karo, rona dhona."
"Hamein sharam aati hai, yeh kya ho raha hai?"
"Just awesome, yeh drama dekhte hi sab ghar walay alert ho jaate hain, qatil."
"Aapko bhi bohat bohat mubarak ho, sister, yeh sun kar acha laga."
Mein nahi samajhta ki kirdar ne unki retirement ke silsile mein koi zabardasti ki.
"Mashallah, Allah salamat rakhe, Rahet GG aapko, ameen, nice, so so so beautiful voice."
"DJ ki toh kya hi baat hai, na? Very nice, kamaal kar diya."
"Sirf lanat hai aise logon par, aur kuch nahi."
"Jis mein sirf muhajir siyasat se hat kar tamam mazloom tabqon ko aik hi platform pe jama karne ki baat ki gayi, qatil."
"Kismat aur lover dono saath dein, toh zindagi bohat khubsoorat ho jati hai, right now."
Mean ki ab hamari Pakistani actresses bhi kapre kam kartay kartay aik din utaar hi dengi?
"Yeh khud shakal se chor lag raha hai, kuch toh gadbad hai."
"Isliye admin, shukar karo single hone ka, rona na ro, khush raho."
"Aik aur chorni, yeh toh hadd hai, sharam karo."
"I think is university mein pehle is department mein kisi Pakistani origin ke bachay ko yeh admission nahi mila, is liye aise keh rahe hain."
"Bheegi bheegi palkon mein aks tera rehta hai, yeh toh kamaal hai."
"Hadd kardi aap ne, hadd kardi, yeh toh bohat zyada ho gaya."
"Meri eyebrows bani hui nahi hain, yeh toh problem hai."
"Gaddi pe laga iske BC, so sorry, yeh galat hai."
"Parents shadeed pareshan hain, qatil, yeh toh dukh ki baat hai."
"Beghairat aurat, kangar mard, sharam aani chahiye."
"SubhanAllah, Allah pak kamyab kare, ameen, dua hai."
"Mashallah, kya khoob chhod gaye, kamaal kar diya."
"Wow bhai, yeh toh kamaal ho gaya, zabardast."
"Shehar ke kai elaaqon mein bad tareen load shedding jari, shahri sarapa ehtijaj, qatil, yeh toh galat hai."
"Daku raj, yeh toh bohat galat hai, band karo."
"Ibrahim ka ghar deewar ka ghar hai, haan, yeh toh sahi hai."
"Dil ko chhu dene wale OST aur drama hai, very nice actors, Feroze Khan and Iqra Aziz, kamaal hai."
"Bas sahi waqt per swere phir uni da hostel done aa, yeh toh theek hai."
"Mein sha Allah we lal don, yeh toh theek hai, khush raho."
"Fake, 25 seconds baad paisay wapas chale jaate hain aur next day account mein transfer ho jaate hain, yeh toh galat hai."
"Aap bohat achay lagte ho, madam, I love you, yeh toh achi baat hai."
"Lanat ho tum pe, sharam karo, yeh toh galat hai."
"Yeh Pakistani hain, sharam khatam ho gayi, par hum tabdeeli chahte hain, yeh toh sahi hai."
"Harami sala, dramay baaz, yeh toh galat hai, sharam karo."
"Mashallah, bohat cute hain dono, yeh toh achi baat hai."
"Mein ne bhi university mein parha, lekin mein ne jhoot nahi bola ki mera baba driver hai, yeh toh sahi hai."
"Bohat badhiya gana hai yah, yeh toh kamaal ka gana hai."
"Kya kamaal ka song hai, dil khush ho gaya."
"Qatil, chunanche mehaz Ahmed Rushdi ki gaye hue geet pe hont hila dene se Mohammad Ali ka maqsad poora na hota tha."
"Beghairat insaan,"
"Lanat hai tum par, tum gunday chor ho."
Urdu point bhi aaj kal bohat bigar gaya hai.
"Mam, isme mujhe kya kya chahiye, batao?"
Qatil ne iske ilawa ittefaq hospital ke naam se bhi aik hospital qaim kiya.
"Haye, dono actors bohat bure thay, koi glamour nahi tha, inhe hero heroine banaya kisne? Fatima heroine lagti hi nahi, usko dekh kar maza hi nahi aaya."
"Ahsan Ashraf, najaaiz beti bhi tumhari leader hi thi, hope you remember. Kindly mere comment pe aakar reply mat karo, apne kaam se kaam rakho."
Wo is se itne mutassir hue ke forum ne aik film rocky ki kahani likh dali.
"Mein to itna jaanti hun ke jo showbiz ki field mein aa jaye, wo sharam ghar pe rakh ke aata hai, kisi ko bura lage ya acha, lekin sahi yahi hai."
"Mein Jinnah road, Capri cinema ke kareeb traffic hadisa mein aik shakhs janbahaq hua, qatil."
"Bohat khubsoorat ho madam ji, thanks for the information."
"Drama hai, kya kehna hai is bare mein?"
"Sas na ho, quality hai, nandy na ho, best quality hai."
"Price kya hai, zara detail mein batao?"
"Qatil, maslan un ki shairana azmat nasar mein un ki barai ko kam nahi kar sakti, un ki tamam hi tehreeron mein wit jhalakti hai lekin nasar nigari mein yeh kamal numaya hai."
"University ka naam kya hai, koi bataye please?"
"Acha hai, item usi karne mein maza aata hai."
"Shehbaz Shareef, khadim e Pakistan, yeh sahi hai."
"Anaya kitna jealous hoti hai, yeh toh dekhne layak hai."
"Yaar band kar do, yeh bakwas, jago, neend se bahar aao warna yeh aapki bhi hai."
"Haan Abdullah, mujhe bohat mohabbat thi tumse, hamesha rahegi."
"Bakwas video, mujhe bhi bola gaya lunch time hai, kuch der rukiye."
"Chot ki chapair, yeh toh galat baat hai."
"Aik toh gandi gaane, upar se besuri aawazein, qatil, yeh kya hai?"
Madaris pe firing kar ke 10 talib e ilmo ko qatal or mutadid ko zakhmi karne wale karkun Shahid Mirza ko gawah ne shanakht kar liye.
"Yo toh bohat galat hai, kyonki 1 se 2 toh think hai, pe 4 bohat galat ho raha hai."
"Kab wo din ayega jis din Maryam, Hassan, Hussain, Nawaz Shareef or Safdar ko aise rangers wale le kar jayenge?"
"Elaqa Rehmani Khail mein mamooli takrar per police constable qatal, qatil, yeh kya ho raha hai?"
"Acha hai, koi issue nahi hai, sab theek hai."
Ana Molka Ahmed ki koshishon se Punjab University Fine Art Department jald hi mustehkam ho gaya or talba ko fine art se khasosi lagao paida ho gaya.
"Bakwas hai sab Pakistan mein, kuch nahi hai."
"Chutiya PM bas bhonkne ki liye rakha huwa hai, yeh toh galat hai."
"Geo walon ki aik ikloti ghare jo Bilal Qureshi ko har baar di jati hai, qatil, last time munafik mein tha."
Paise khilaaogy awam ko toh konsi awam bahar nahi ayegi istaqbal karne?
"Baji, muashira aurto ka bhi nahi hai, yeh muashira or mulk islam ki naam pe azad hua, aurat ki naam pe nahi, jeetnay huqooq islam deta hai na koi nahi deta, actually aap logo ko kuch pata hi nahi, kood parti ho har kaam mein, Amir Liaqat ki jo gandi video larki ne banai jis ki wajah moat bani, uske agar koi larka esa karta toh wo toh aik larki hee toh thi, toh pata inko nahi dalna chahye, daulat paiso ki khatir"
"Yai ghatiya log ganwar, rapist, aur qaatil hain, gandy MLA aur MP baithe hain, yai kaun si website pe apply kiye thay?"
"Dil ko chhoone wala song hai yeh, nice drama aur lovely song hai, bohat acha hai."
"Lanat hai tere pe, thora sa hint to de, kya baat hai bhai?"
"Aapki baat bilkul sahi hai, mam ji, aap bilkul theek keh rahi hain."
"Mujhe bohat rona aaya, dil bohat dukha, kya karun mein?"
"Aunty pagal ho gai hain, ab Lahore ka haal pata hai, kya ho raha hai?"
"Allah unko hidayat de, sahi raah dikhaye, ameen ya rab."
"Remid Devis kaano torta hai, 1 Pakistani ko maar deta hai aur yahan ki adalat usko protocol ki saat mulk se nikal deti hai, Dr. Aafia ne kisi American ki jaan nahi li, lekin wo wahan qaid hai, ye hai Pakistanio tumhari auqaat."
"Bhai, tu kab aa raha hai lene, Mars nahi gaya kya qaatil, jaldi aa ja."
"Ab to awam ko bewakoof banana band karo, drama baaz, bas karo yaar."
"Stay ka aik thela kitne din chalay ga, yai bhi batayen, not impressed, very disappointed from Shahbaz performance."
Qayam-e-Pakistan ke baad unki pehli film Hichkole thi jo 1949 mein numaish ke liye paish hui.
"Sardi ka mausam mujhe pasand hai aur bahar ghoomna bhi pasand hai, par mujhe zukam bohat kharab hota hai sardi mein."
"Allah aapko salamat rakhe, hamesha khush raho, dua hai meri."
Qaatil us doran unhi ke kohna mashq aur tajurbakar qanoondano se milne ka ittefaq hua.
"Dil ko chhoo gaye yeh song, bohat acha laga, dil se nikla."
"Text ki naam pe sood, yeh to galat hai, band karo."
"Allah he hafiz hai in jahilon ka, besharam, beghairat log, sharam karo."
"Beghairato, doob maro, shame on you, sharam karo, kuch to sharam karo."
"Yeh Allah, kya banega is qom ka, samajh nahi aata, kya ho raha hai."
"Kya drama hai yaar, sacchi, i feel it, dil ko chhu gaya."
"Gotha, koi tumko like nahi karta, tumhari koi izzat nahi hai."
"Shaitan ki bhai, shaitan ka kaam karta hai, dur raho."
"Allah aise police walon ko tabah kare, gande, ghateya log, sharam karo."
"Batti bana lo, dar sab kaam ayegi, ander bhi aur bahar bhi."
"Akshay sir sabse best hain, un jaisa koi nahi, great work."
"Acha ji, yai baat hai, mujhe nahi pata tha, chalo theek hai."
"Wonderful, kamaal ka hai, bohat acha laga, dil khush ho gaya."
"Aapka teeth theek karwa lijiye, mein teeth mein gap hai jo sundar nahi dikh raha, theek karwa lo."
"Wow, aik baar Peer Fatima Afendi ka damakedar drama, kamaal ka tha."
"Yehi to bol raha hai ki sabhi kharab hain, aap mujhse kisi ko munsalik na karo, mein sare parties and generals ki khilaf hun, Imran Khan yahudi hi rahega, aap research karo, agar nahi karni to meri shared video dekh lo, because mein to jhota hun, but Dr. Israr Ahmed se sacha insaan Pakistan mein nahi ho sakta."
"Azam Khan bari mehnati aur hosla wale khilari thay, unki baat hai."
"Sachi baat hai, VP bori hawateen bhi bol rahe hain, sach hai yeh."
"Bahut khoob, kamaal hai, dil khush ho gaya, wah wah."
We want season 4 with Feroz Khan and Iq
"Malir mein p ki rally mein jayalon ki badi tadaad mein shirkat hui, lasbela se pmln ki rally rawa dawan naghmon per raqs qatil."
"Masjid qab aa, is thy first mosque where Mohammad saw openly led the regular prayer congregation of his companions qatil."
"Mujhy ni lagta ab tak is series dekhi, ye banai hogi kisi ne, dil pe lagte hai sidhi yai series love you feroz khan brother and iqra aziz mam, love from india."
